product_id,product_name,category,sub_category,price
P00001,Daily Dishwash 1kg,Snacks & Branded Foods,Instant Food,250
P00002,Quick Apple 500g,Fruits & Vegetables,Fresh Fruits,90
P00003,Fresh Cashew 12 pcs,Personal Care,Skin Care,100
P00004,Quick Toor Dal 500ml,Grocery & Staples,Dal & Pulses,300
P00005,Fresh Chocolate 1L,Household,Disposables,180
P00006,Fresh Tea 500ml,Beverages,Juices,130
P00007,Quick Floor Cleaner 1L,Baby Care,Baby Food,610
P00008,Pure Tomato 1L,Beverages,Energy Drinks,140
P00009,Pure Banana 12 pcs,Personal Care,Oral Care,160
P00010,Fresh Potato 200g,Beverages,Soft Drinks,90
P00011,Pure Cashew 2kg,Fruits & Vegetables,Fresh Vegetables,100
P00012,Good Cookies 200g,Snacks & Branded Foods,Biscuits & Cookies,250
P00013,Quick Cold Drink 500g,Snacks & Branded Foods,Instant Food,160
P00014,Daily Toor Dal 1kg,Grocery & Staples,Atta & Flour,370
P00015,Happy Juice 500g,Snacks & Branded Foods,Chips & Namkeen,140
P00016,Urban Eggs 1L,Dairy & Bakery,Milk,140
P00017,Good Toothpaste 200g,Household,Disposables,220
P00018,Happy Banana 12 pcs,Dairy & Bakery,Curd & Yogurt,220
P00019,Good Curd 2kg,Fruits & Vegetables,Fresh Vegetables,260
P00020,Pure Cookies 1kg,Personal Care,Oral Care,120
P00021,Pure Eggs 200g,Dairy & Bakery,Breads,40
P00022,Green Atta 500g,Baby Care,Baby Food,550
P00023,Green Potato 1L,Household,Cleaning Supplies,240
P00024,Urban Almonds 1L,Personal Care,Skin Care,390
P00025,Fresh Bread 6 pcs,Dairy & Bakery,Milk,110
P00026,Pure Tea 1L,Grocery & Staples,Dal & Pulses,200
P00027,Metro Eggs 12 pcs,Dairy & Bakery,Cakes,290
P00028,Pure Toor Dal 1kg,Personal Care,Oral Care,190
P00029,Daily Chocolate 1L,Grocery & Staples,Atta & Flour,120
P00030,Fresh Cold Drink 500g,Grocery & Staples,Dal & Pulses,250
P00031,Smart Tea 500ml,Baby Care,Baby Food,220
P00032,Daily Toothpaste 1kg,Fruits & Vegetables,Fresh Fruits,240
P00033,Good Tomato 1kg,Grocery & Staples,Dal & Pulses,150
P00034,Daily Juice 1L,Snacks & Branded Foods,Biscuits & Cookies,130
P00035,Urban Almonds 2kg,Baby Care,Diapers,770
P00036,Fresh Chocolate 12 pcs,Snacks & Branded Foods,Chips & Namkeen,70
P00037,Good Eggs 500g,Baby Care,Diapers,450
P00038,Green Dishwash 1L,Baby Care,Baby Food,250
P00039,Metro Namkeen 1L,Personal Care,Hair Care,530
P00040,Green Tea 1L,Personal Care,Oral Care,120
P00041,Urban Potato 6 pcs,Dairy & Bakery,Milk,280
P00042,Quick Dishwash 1kg,Dairy & Bakery,Curd & Yogurt,270
P00043,Quick Floor Cleaner 500ml,Beverages,Soft Drinks,150
P00044,Fresh Shampoo 500ml,Household,Disposables,270
P00045,Smart Curd 200g,Dairy & Bakery,Paneer,180
P00046,Good Potato 12 pcs,Household,Disposables,160
P00047,Fresh Almonds 1L,Baby Care,Baby Skin Care,770
P00048,Pure Banana 1L,Grocery & Staples,Atta & Flour,340
P00049,Metro Atta 1L,Personal Care,Oral Care,540
P00050,Pure Curd 2kg,Snacks & Branded Foods,Instant Food,130
P00051,Pure Cookies 200g,Dairy & Bakery,Breads,190
P00052,Quick Potato 1L,Personal Care,Deos & Perfumes,80
P00053,Good Tomato 500ml,Fruits & Vegetables,Herbs,300
P00054,Metro Curd 500ml,Snacks & Branded Foods,Biscuits & Cookies,170
P00055,Urban Apple 1L,Grocery & Staples,Atta & Flour,60
P00056,Green Potato 6 pcs,Beverages,Tea & Coffee,150
P00057,Smart Almonds 500g,Dairy & Bakery,Milk,30
P00058,Green Floor Cleaner 200g,Personal Care,Oral Care,400
P00059,Fresh Eggs 1L,Dairy & Bakery,Breads,70
P00060,Good Atta 6 pcs,Dairy & Bakery,Cakes,140
P00061,Urban Coffee 500g,Household,Cleaning Supplies,190
P00062,Metro Dishwash 12 pcs,Grocery & Staples,Dal & Pulses,580
P00063,Metro Milk 500ml,Grocery & Staples,Dal & Pulses,160
P00064,Good Toor Dal 2kg,Snacks & Branded Foods,Chips & Namkeen,40
P00065,Daily Chocolate 200g,Snacks & Branded Foods,Instant Food,150
P00066,Fresh Banana 12 pcs,Fruits & Vegetables,Herbs,150
P00067,Happy Cookies 12 pcs,Grocery & Staples,Atta & Flour,480
P00068,Pure Namkeen 12 pcs,Fruits & Vegetables,Herbs,280
P00069,Pure Floor Cleaner 500ml,Household,Laundry,380
P00070,Pure Milk 200g,Beverages,Soft Drinks,160
P00071,Quick Toor Dal 1kg,Beverages,Juices,140
P00072,Fresh Almonds 500ml,Dairy & Bakery,Cakes,40
P00073,Green Potato 500ml,Dairy & Bakery,Curd & Yogurt,130
P00074,Good Floor Cleaner 500ml,Dairy & Bakery,Breads,90
P00075,Happy Apple 1L,Personal Care,Hair Care,450
P00076,Metro Potato 1L,Grocery & Staples,Atta & Flour,340
P00077,Fresh Basmati Rice 2kg,Household,Cleaning Supplies,110
P00078,Smart Atta 500g,Beverages,Soft Drinks,230
P00079,Quick Eggs 200g,Snacks & Branded Foods,Biscuits & Cookies,210
